Date,Open,High,Low,Close,Adj Close,Volume
2017-01-02,3980.000000,3980.000000,3980.000000,3980.000000,3310.131592,0
2017-01-03,3950.000000,3990.000000,3920.000000,3950.000000,3285.180664,71660600
2017-01-04,3880.000000,3980.000000,3880.000000,3950.000000,3285.180664,68494500
2017-01-05,3960.000000,4030.000000,3940.000000,3950.000000,3285.180664,74018400
2017-01-06,3970.000000,4010.000000,3960.000000,4000.000000,3326.765381,44136900
2017-01-09,4000.000000,4030.000000,3990.000000,4020.000000,3343.399414,85713200
2017-01-10,4030.000000,4030.000000,3960.000000,4000.000000,3326.765381,44608000
2017-01-11,3960.000000,4000.000000,3950.000000,3960.000000,3293.497559,47226300
2017-01-12,3920.000000,3970.000000,3920.000000,3960.000000,3293.497559,45738500
2017-01-13,3930.000000,3970.000000,3930.000000,3950.000000,3285.180664,64704600
2017-01-16,3970.000000,4000.000000,3950.000000,3950.000000,3285.180664,42188800
2017-01-17,3980.000000,4000.000000,3960.000000,3970.000000,3301.814697,45793400
2017-01-18,3960.000000,4010.000000,3950.000000,3960.000000,3293.497559,56558200
2017-01-19,3940.000000,3980.000000,3920.000000,3970.000000,3301.814697,53435400
2017-01-20,3920.000000,3940.000000,3820.000000,3830.000000,3185.377686,101523500
2017-01-23,3800.000000,3880.000000,3780.000000,3840.000000,3193.694824,77653500
2017-01-24,3850.000000,3950.000000,3850.000000,3910.000000,3251.913086,113430200
2017-01-25,3940.000000,3940.000000,3890.000000,3900.000000,3243.595947,47799100
2017-01-26,3900.000000,3960.000000,3860.000000,3940.000000,3276.864014,60944600
2017-01-27,3900.000000,3920.000000,3880.000000,3890.000000,3235.279541,47240400
2017-01-30,3860.000000,3910.000000,3860.000000,3860.000000,3210.328613,30060700
2017-01-31,3870.000000,3920.000000,3860.000000,3870.000000,3218.645508,57849200
2017-02-01,3910.000000,3980.000000,3900.000000,3940.000000,3276.864014,77648400
2017-02-02,3940.000000,3980.000000,3900.000000,3950.000000,3285.180664,73895600
2017-02-03,3900.000000,3970.000000,3900.000000,3950.000000,3285.180664,59225000
2017-02-06,3940.000000,3960.000000,3910.000000,3960.000000,3293.497559,52999700
2017-02-07,3930.000000,3960.000000,3920.000000,3920.000000,3260.229980,66017500
2017-02-08,3900.000000,3920.000000,3860.000000,3870.000000,3218.645508,115706000
2017-02-09,3870.000000,3910.000000,3860.000000,3870.000000,3218.645508,78090700
2017-02-10,3870.000000,3910.000000,3860.000000,3890.000000,3235.279541,91636700
2017-02-13,3920.000000,3920.000000,3900.000000,3920.000000,3260.229980,54547600
2017-02-14,3900.000000,3900.000000,3840.000000,3860.000000,3210.328613,146309400
2017-02-15,3860.000000,3860.000000,3860.000000,3860.000000,3210.328613,0
2017-02-16,3880.000000,3890.000000,3840.000000,3870.000000,3218.645508,127779400
2017-02-17,3890.000000,3890.000000,3850.000000,3870.000000,3218.645508,80814700
2017-02-20,3860.000000,3880.000000,3850.000000,3870.000000,3218.645508,26820400
2017-02-21,3880.000000,3890.000000,3860.000000,3880.000000,3226.962402,49368500
2017-02-22,3880.000000,3890.000000,3850.000000,3880.000000,3226.962402,74260200
2017-02-23,3860.000000,3870.000000,3830.000000,3840.000000,3193.694824,122760100
